config.seed,timestamp,config.config_name,config.config_stem,config.config_path,experiment_dir,summary_path,config.num_pos,config.gen_strategy,config.empirical_bank_size,config.empirical_bank_select_mode,config.empirical_sigma_scale,config.augment_copies,pattern_eval.P  DFUDS,pattern_eval.P' DFUDS,pattern_eval.ノード数の差 (P'- P),pattern_eval.辺数の差 (P'- P),pattern_eval.変数数の差 (P'- P),pattern_eval.DFUDS長の差 (P'- P),pattern_eval.特化度 (node増加率),pattern_eval.Pprime_vs_original_match_rate,vae_eval.encoded_z,vae_eval.empirical_latent,vae_eval.empirical_latent_unique,vae_eval.mu_profile,generate_eval.match_rate,generate_eval.unique_graphs,config.K,config.add_nodes,config.config_seed,config.edge_labels,config.encoder_layers,config.eval_num_samples,config.max_beta,config.model_path,config.n_samples,config.output,config.pat_nodes,config.total_epochs,generate_eval.match_rate_count,generate_eval.max_trials,generate_eval.saved_neg,generate_eval.saved_pos,generate_eval.strategy,generate_eval.total_gen,pattern_eval.P  DFUDS長,pattern_eval.P  ノード数,pattern_eval.P  変数数,pattern_eval.P  辺数,pattern_eval.P' DFUDS長,pattern_eval.P' ノード数,pattern_eval.P' 変数数,pattern_eval.P' 辺数,pattern_eval.Pprime_vs_original_count,vae_eval.Pprime_vs_original,vae_eval.Pprime_vs_original_count,vae_eval_empirical_sweep.bank100.actual_bank_size,vae_eval_empirical_sweep.bank100.bank_size,vae_eval_empirical_sweep.bank100.match_rate,vae_eval_empirical_sweep.bank100.select_mode,vae_eval_empirical_sweep.bank100.sigma_scale,vae_eval_empirical_sweep.bank100.total_means,vae_eval_empirical_sweep.bank100.unique_graphs,vae_eval_empirical_sweep.bank20.actual_bank_size,vae_eval_empirical_sweep.bank20.bank_size,vae_eval_empirical_sweep.bank20.match_rate,vae_eval_empirical_sweep.bank20.select_mode,vae_eval_empirical_sweep.bank20.sigma_scale,vae_eval_empirical_sweep.bank20.total_means,vae_eval_empirical_sweep.bank20.unique_graphs,vae_eval_empirical_sweep.bank50.bank_size,vae_eval_empirical_sweep.bank50.match_rate,vae_eval_empirical_sweep.bank50.select_mode,vae_eval_empirical_sweep.bank50.sigma_scale,vae_eval_empirical_sweep.bank50.unique_graphs,vae_eval_empirical_sweep.full.bank_size,vae_eval_empirical_sweep.full.match_rate,vae_eval_empirical_sweep.full.select_mode,vae_eval_empirical_sweep.full.sigma_scale,vae_eval_empirical_sweep.full.unique_graphs
1238,20260329_115321,np1000_bank100.json,np1000_bank100,/home/shoudai/Py/28/configs/empirical/np1000_bank100.json,experiments/20260329_115321_np1000_bank100_seed1238,experiments/20260329_115321_np1000_bank100_seed1238/summary.json,1000,empirical,100,fps,0.15,1,"0,0,0,0,#,0,0,0,0,0,0,e,X,X,X,X,X,X,X,X","0,0,0,0,#,X,X,0,0,0,0,0,0,e,X,X,X,X,X,X",0,0,0,0,0.0,1.0,1.0,1.0,64,1.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,8,9,39,10,8,9,1000/1000,1.0,1000/1000,100,100,1.0,fps,0.15,200,64,,,,,,,,,,,,,,,,,
1239,20260329_115824,np1000_bank100.json,np1000_bank100,/home/shoudai/Py/28/configs/empirical/np1000_bank100.json,experiments/20260329_115824_np1000_bank100_seed1239,experiments/20260329_115824_np1000_bank100_seed1239/summary.json,1000,empirical,100,fps,0.15,1,"0,0,0,#,0,0,a,0,d,X,0,d,b,0,0,c,0,c,X,X","0,0,0,#,0,0,a,0,d,b,0,d,X,0,0,c,X,0,c,X",0,0,0,0,0.0,1.0,1.0,1.0,62,0.08,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,3,9,39,10,3,9,1000/1000,1.0,1000/1000,100,100,1.0,fps,0.15,200,62,,,,,,,,,,,,,,,,,
1240,20260329_120719,np1000_bank100.json,np1000_bank100,/home/shoudai/Py/28/configs/empirical/np1000_bank100.json,experiments/20260329_120719_np1000_bank100_seed1240,experiments/20260329_120719_np1000_bank100_seed1240/summary.json,1000,empirical,100,fps,0.15,1,"0,0,#,0,d,0,d,0,0,c,0,d,0,0,a,X,X,0,c,e","0,0,#,0,d,0,d,0,0,c,0,d,0,0,a,0,X,X,X,0,c,e",1,1,1,4,0.1,0.999,1.0,1.0,64,0.23,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,2,9,43,11,3,10,999/1000,0.999,999/1000,100,100,1.0,fps,0.15,200,64,,,,,,,,,,,,,,,,,
1241,20260329_121504,np1000_bank100.json,np1000_bank100,/home/shoudai/Py/28/configs/empirical/np1000_bank100.json,experiments/20260329_121504_np1000_bank100_seed1241,experiments/20260329_121504_np1000_bank100_seed1241/summary.json,1000,empirical,100,fps,0.15,1,"0,0,0,#,0,d,0,e,0,0,0,b,0,e,0,c,X,X,X,X","0,0,0,#,X,0,d,0,e,0,0,0,b,X,X,0,e,X",-1,-1,0,-4,-0.1,1.0,0.975,0.98,71,0.0,0.97,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bank100,10,300,97/100,5000,3,97,empirical,100,39,10,4,9,35,9,4,8,1000/1000,1.0,1000/1000,100,100,0.98,fps,0.15,200,71,,,,,,,,,,,,,,,,,
1242,20260329_121907,np1000_bank100.json,np1000_bank100,/home/shoudai/Py/28/configs/empirical/np1000_bank100.json,experiments/20260329_121907_np1000_bank100_seed1242,experiments/20260329_121907_np1000_bank100_seed1242/summary.json,1000,empirical,100,fps,0.15,1,"0,0,0,0,#,0,0,0,0,a,0,e,X,0,d,X,X,X,b,X","0,0,0,0,#,X,b,0,0,0,0,a,X,X,0,d,X,0,e,X",0,0,0,0,0.0,1.0,1.0,1.0,71,0.44,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,5,9,39,10,5,9,1000/1000,1.0,1000/1000,100,100,1.0,fps,0.15,200,71,,,,,,,,,,,,,,,,,
1243,20260329_122353,np1000_bank100.json,np1000_bank100,/home/shoudai/Py/28/configs/empirical/np1000_bank100.json,experiments/20260329_122353_np1000_bank100_seed1243,experiments/20260329_122353_np1000_bank100_seed1243/summary.json,1000,empirical,100,fps,0.15,1,"0,0,0,0,#,0,e,0,0,e,0,d,0,0,c,X,X,b,e,X","0,0,0,0,#,0,e,0,0,e,0,d,0,0,c,X,X,b,X,e",0,0,0,0,0.0,1.0,1.0,1.0,64,0.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,3,9,39,10,3,9,1000/1000,1.0,1000/1000,100,100,1.0,fps,0.15,200,64,,,,,,,,,,,,,,,,,
1234,20260329_123317,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_123317_np2000_bank100_seed1234,experiments/20260329_123317_np2000_bank100_seed1234/summary.json,2000,empirical,100,fps,0.15,1,"0,0,#,0,a,0,0,0,0,0,e,0,a,0,a,X,a,c,b,a","0,0,#,0,a,0,0,0,0,0,e,0,a,0,a,0,X,X,a,b,a,c",1,1,1,4,0.1,1.0,1.0,1.0,62,0.6,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,1,9,43,11,2,10,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,62,,,,,,,,,,,,,,,,,
1235,20260329_124126,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_124126_np2000_bank100_seed1235,experiments/20260329_124126_np2000_bank100_seed1235/summary.json,2000,empirical,100,fps,0.15,1,"0,0,#,0,d,0,0,b,0,c,0,d,0,b,0,0,e,a,X,X","0,0,#,0,d,0,0,b,X,0,c,0,d,0,b,0,0,e,X,a",0,0,0,0,0.0,1.0,1.0,1.0,66,0.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,2,9,39,10,2,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,66,,,,,,,,,,,,,,,,,
1236,20260329_125337,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_125337_np2000_bank100_seed1236,experiments/20260329_125337_np2000_bank100_seed1236/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,#,0,e,0,d,0,0,e,0,0,c,X,X,X,0,a,X","0,0,0,#,0,e,0,d,0,0,e,X,0,0,c,X,X,0,a,X",0,0,0,0,0.0,1.0,1.0,1.0,64,0.11,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,4,9,39,10,4,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,64,,,,,,,,,,,,,,,,,
1237,20260329_130807,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_130807_np2000_bank100_seed1237,experiments/20260329_130807_np2000_bank100_seed1237/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,#,0,0,0,e,0,0,0,e,c,X,X,0,d,X,X,d","0,0,0,#,0,0,0,e,X,0,0,0,e,X,X,X,0,d,X,d",0,0,1,0,0.0,1.0,0.9625,1.0,60,0.44,0.99,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,99/100,5000,1,99,empirical,100,39,10,4,9,39,10,5,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,60,,,,,,,,,,,,,,,,,
1238,20260329_131356,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_131356_np2000_bank100_seed1238,experiments/20260329_131356_np2000_bank100_seed1238/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,0,#,0,0,0,0,0,0,e,X,X,X,X,X,X,X,X","0,0,0,0,#,X,X,0,0,0,0,0,0,e,X,X,X,X,X,X",0,0,0,0,0.0,1.0,1.0,1.0,62,1.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,8,9,39,10,8,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,62,,,,,,,,,,,,,,,,,
1239,20260329_132259,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_132259_np2000_bank100_seed1239,experiments/20260329_132259_np2000_bank100_seed1239/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,#,0,0,a,0,d,X,0,d,b,0,0,c,0,c,X,X","0,0,0,#,0,0,a,0,d,b,0,d,X,0,0,c,X,0,c,X",0,0,0,0,0.0,1.0,0.995,1.0,66,0.03,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,3,9,39,10,3,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,66,,,,,,,,,,,,,,,,,
1240,20260329_133245,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_133245_np2000_bank100_seed1240,experiments/20260329_133245_np2000_bank100_seed1240/summary.json,2000,empirical,100,fps,0.15,1,"0,0,#,0,d,0,d,0,0,c,0,d,0,0,a,X,X,0,c,e","0,0,#,0,d,0,d,0,0,c,0,d,0,0,a,0,X,X,X,0,c,e",1,1,1,4,0.1,0.9995,1.0,1.0,65,0.15,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,2,9,43,11,3,10,1999/2000,0.9995,1999/2000,100,100,1.0,fps,0.15,400,65,,,,,,,,,,,,,,,,,
1241,20260329_134224,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_134224_np2000_bank100_seed1241,experiments/20260329_134224_np2000_bank100_seed1241/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,#,0,d,0,e,0,0,0,b,0,e,0,c,X,X,X,X","0,0,0,#,X,0,d,0,e,0,0,0,b,X,X,0,e,X",-1,-1,0,-4,-0.1,1.0,0.995,0.99,67,0.0,0.97,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,97/100,5000,3,97,empirical,100,39,10,4,9,35,9,4,8,2000/2000,1.0,2000/2000,100,100,0.99,fps,0.15,400,67,,,,,,,,,,,,,,,,,
1242,20260329_135041,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_135041_np2000_bank100_seed1242,experiments/20260329_135041_np2000_bank100_seed1242/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,0,#,0,0,0,0,a,0,e,X,0,d,X,X,X,b,X","0,0,0,0,#,X,b,0,0,0,0,a,X,X,0,d,X,0,e,X",0,0,0,0,0.0,1.0,1.0,1.0,67,0.62,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,5,9,39,10,5,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,67,,,,,,,,,,,,,,,,,
1243,20260329_140729,np2000_bank100.json,np2000_bank100,/home/shoudai/Py/28/configs/empirical/np2000_bank100.json,experiments/20260329_140729_np2000_bank100_seed1243,experiments/20260329_140729_np2000_bank100_seed1243/summary.json,2000,empirical,100,fps,0.15,1,"0,0,0,0,#,0,e,0,0,e,0,d,0,0,c,X,X,b,e,X","0,0,0,0,#,0,e,0,0,e,0,d,0,0,c,X,X,b,X,e",0,0,0,0,0.0,1.0,1.0,1.0,64,0.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np2000_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,3,9,39,10,3,9,2000/2000,1.0,2000/2000,100,100,1.0,fps,0.15,400,64,,,,,,,,,,,,,,,,,
1234,20260329_141941,np1000_bankfull.json,np1000_bankfull,/home/shoudai/Py/28/configs/empirical/np1000_bankfull.json,experiments/20260329_141941_np1000_bankfull_seed1234,experiments/20260329_141941_np1000_bankfull_seed1234/summary.json,1000,empirical,,fps,0.15,1,"0,0,#,0,a,0,0,0,0,0,e,0,a,0,a,X,a,c,b,a","0,0,#,0,a,0,0,0,0,0,e,X,0,a,0,a,0,X,X,a,b,a",1,1,2,4,0.1,1.0,0.99,0.99,77,0.48,0.99,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bankfull,10,300,99/100,5000,1,99,empirical,100,39,10,1,9,43,11,3,10,1000/1000,1.0,1000/1000,,100,1.0,fps,0.15,,77,,20,1.0,fps,0.15,,25,50,1.0,fps,0.15,49,,0.99,fps,0.15,77
1235,20260329_142326,np1000_bankfull.json,np1000_bankfull,/home/shoudai/Py/28/configs/empirical/np1000_bankfull.json,experiments/20260329_142326_np1000_bankfull_seed1235,experiments/20260329_142326_np1000_bankfull_seed1235/summary.json,1000,empirical,,fps,0.15,1,"0,0,#,0,d,0,0,b,0,c,0,d,0,b,0,0,e,a,X,X","0,0,#,0,d,0,0,b,X,0,c,0,d,0,b,0,0,e,X,a",0,0,0,0,0.0,1.0,1.0,1.0,80,0.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bankfull,10,300,100/100,5000,0,100,empirical,100,39,10,2,9,39,10,2,9,1000/1000,1.0,1000/1000,,100,1.0,fps,0.15,,60,,20,1.0,fps,0.15,,20,50,1.0,fps,0.15,44,,1.0,fps,0.15,80
1236,20260329_143314,np1000_bankfull.json,np1000_bankfull,/home/shoudai/Py/28/configs/empirical/np1000_bankfull.json,experiments/20260329_143314_np1000_bankfull_seed1236,experiments/20260329_143314_np1000_bankfull_seed1236/summary.json,1000,empirical,,fps,0.15,1,"0,0,0,#,0,e,0,d,0,0,e,0,0,c,X,X,X,0,a,X","0,0,0,#,0,e,0,d,0,0,e,X,0,0,c,X,X,0,a,X",0,0,0,0,0.0,1.0,1.0,1.0,80,0.05,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bankfull,10,300,100/100,5000,0,100,empirical,100,39,10,4,9,39,10,4,9,1000/1000,1.0,1000/1000,,100,1.0,fps,0.15,,60,,20,1.0,fps,0.15,,25,50,1.0,fps,0.15,46,,1.0,fps,0.15,80
1237,20260329_143711,np1000_bankfull.json,np1000_bankfull,/home/shoudai/Py/28/configs/empirical/np1000_bankfull.json,experiments/20260329_143711_np1000_bankfull_seed1237,experiments/20260329_143711_np1000_bankfull_seed1237/summary.json,1000,empirical,,fps,0.15,1,"0,0,0,#,0,0,0,e,0,0,0,e,c,X,X,0,d,X,X,d","0,0,0,#,0,0,0,e,X,0,0,0,e,X,X,c,0,d,X,d",0,0,0,0,0.0,1.0,1.0,1.0,76,0.64,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np1000_bankfull,10,300,100/100,5000,0,100,empirical,100,39,10,4,9,39,10,4,9,1000/1000,1.0,1000/1000,,100,1.0,fps,0.15,,67,,20,1.0,fps,0.15,,25,50,1.0,fps,0.15,47,,1.0,fps,0.15,76
